Date,Description,Type,Cost,Timestamp,Email Address,,,https://docs.google.com/forms/d/e/1FAIpQLSe1VI2A82N_6THPd41tj_MbV_s7V4pHgDXPcsGrTBWMUSl3zg/viewform
5/14/2024,detergent,home,21.49,5/14/2024 1:22:00,,,,
5/14/2024,walmart,food,48.09,5/18/2024 14:30:03,,,,
5/15/2024,vibrator taaha,beauty,51.68,5/18/2024 14:31:45,,,,
5/15/2024,lubricant,beauty,5.32,5/18/2024 14:32:23,,,,
5/15/2024,contraceptive gel,wife,12.63,5/18/2024 14:32:58,,,,
5/15/2024,walmart food,food,54,5/18/2024 14:34:08,,,,
5/16/2024,smith's flowers,wife,26.94,5/18/2024 14:35:01,,,,
5/16/2024,airport parking,transport,5,5/18/2024 14:35:20,,,,
5/17/2024,transit app taaha,transport,5,5/18/2024 14:35:49,,,,
5/17/2024,maverik chocolate,food,4.51,5/18/2024 14:36:33,,,,
5/17/2024,walmart food,food,35.11,5/18/2024 14:36:57,,,,
5/20/2024,",chips",food,2.79,5/20/2024 7:57:17,,,,
5/20/2024,taaha transit app,transport,2.5,5/20/2024 22:51:58,,,,
5/21/2024,utah transit,transport,2.5,5/21/2024 18:07:55,,,,
5/21/2024,rocky mountain power,home,13.45,5/21/2024 21:03:07,,,,
5/18/2024,chips,food,2.79,5/26/2024 18:10:05,,,,
5/20/2024,panda express taaha,wife,8.59,5/26/2024 18:10:45,,,,
5/20/2024,walmart grocery,food,20.44,5/26/2024 18:11:42,,,,
5/20/2024,walmart grocery,food,34.42,5/26/2024 18:12:05,,,,
5/21/2024,chatgpt,study,21.55,5/26/2024 18:13:15,,,,
5/22/2024,chips,food,2.77,5/26/2024 18:13:50,,,,
5/22/2024,hair cut,beauty,13.99,5/26/2024 18:14:25,,,,
5/23/2024,amazon mattress,home,179.43,5/26/2024 18:15:00,,,,
5/25/2024,chips,food,4.21,5/26/2024 18:16:12,,,,
5/25/2024,natural history museum,wife,20.95,5/26/2024 18:23:36,,,,
5/25/2024,biscuit,food,1.02,5/26/2024 18:23:55,,,,
5/26/2024,sunny side rent and deposit,home,516.77,5/26/2024 18:24:31,,,,
5/26/2024,walmart grocery,food,12.69,5/26/2024 18:25:03,,,,
4/24/2024,rent waste,waste,96.58,5/26/2024 18:26:46,,,,
5/27/2024,rent waste,waste,748.5,5/27/2024 13:17:15,,,,
2/8/2024,taaha ticket,wife,1251.75,5/27/2024 13:18:56,,,,
5/27/2024,taaha park,transport,2.5,5/27/2024 19:23:52,,,,
6/2/2024,furniture,home,20,6/2/2024 13:46:33,,,,
5/28/2024,taaha transit,transport,5,6/3/2024 12:58:32,,,,
5/29/2024,walmart order,food,155.28,6/3/2024 12:59:59,,,,
5/30/2024,instacart beef,food,48.06,6/3/2024 13:01:23,,,,
5/30/2024,chips,food,2.05,6/3/2024 13:01:58,,,,
5/30/2024,shop n go,food,27.5,6/3/2024 13:02:26,,,,
5/31/2024,walmart,food,28.68,6/3/2024 13:03:27,,,,
6/2/2024,taaha transit,transport,5,6/3/2024 13:03:55,,,,
6/2/2024,rancho market,food,0.74,6/3/2024 13:04:15,,,,
6/2/2024,shanashil grill,food,25.42,6/3/2024 13:04:47,,,,
6/3/2024,rent,home,905,6/12/2024 10:20:53,,,,
6/12/2024,mehedi and game night,friend,10,6/12/2024 10:23:33,,,,
6/4/2024,gregmat,wife,7.99,6/12/2024 10:25:09,,,,
6/8/2024,ocean city,food,70.58,6/12/2024 10:30:36,,,,
6/8/2024,walmart store,food,44.43,6/12/2024 10:31:15,,,,
6/4/2024,walmart,food,36.91,6/12/2024 10:36:03,,,,
6/6/2024,walmart,food,39.02,6/12/2024 10:36:52,,,,
6/9/2024,walmart,food,38.72,6/12/2024 11:04:58,,,,
6/8/2024,taaha transit,transport,5,6/12/2024 11:05:30,,,,
6/5/2024,google fi,tech,24.83,6/12/2024 11:06:47,,,,
6/12/2024,hisham halal beef,food,35.99,6/20/2024 14:41:33,,,,
6/20/2024,hangar,home,5,6/20/2024 18:15:16,,,,
6/15/2024,walmart body spray,beauty,5.78,6/23/2024 9:15:54,,,,
6/15/2024,walmart grinder,home,2.97,6/23/2024 9:16:18,,,,
6/15/2024,walmart grocery,food,59.64,6/23/2024 9:17:14,,,,
6/14/2024,smith's icecram,food,6.16,6/23/2024 9:22:06,,,,
6/17/2024,transit app,transport,2.5,6/23/2024 9:23:13,,,,
6/18/2024,kitchen scale,home,12.44,6/23/2024 9:25:07,,,,
6/18/2024,stapler walmart,home,3.92,6/23/2024 9:25:50,,,,
6/18/2024,walmart mug,home,1.12,6/23/2024 9:26:14,,,,
6/18/2024,walmart scissor set,home,5.96,6/23/2024 9:26:38,,,,
6/18/2024,walmart grocery,food,32.94,6/23/2024 9:27:40,,,,
6/18/2024,terraria,beauty,10.76,6/23/2024 9:29:05,,,,
6/27/2024,ielts register,wife,357.5,6/23/2024 9:30:35,,,,
6/20/2024,terraria apk,beauty,2.37,6/23/2024 9:33:02,,,,
6/26/2024,rent waste,waste,748.49,6/26/2024 11:34:31,,,,
6/25/2024,transit app,transport,2.5,6/26/2024 12:21:15,,,,
6/25/2024,amazon prime unknown payment,waste,5.99,6/26/2024 12:21:48,,,,
6/25/2024,chatgpt plus,study,21.55,6/26/2024 12:22:12,,,,
6/27/2024,walmart mattress cover,home,13.97,7/7/2024 11:18:50,,,,
